type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanovic, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",23-Sep-21,2021,6.5,127 min,"Dramas, International Movies"
Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",,22-Sep-21,2021,7,91 min,"Children & Family Movies, Comedies"
TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,22-Sep-21,2021,6.5,4 Seasons,"TV Comedies, TV Dramas"
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,,22-Sep-21,2020,6.5,67 min,"Documentaries, International Movies"
TV Show,Falsa identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,22-Sep-21,2020,6.5,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,22-Sep-21,2021,6,94 min,Thrillers
TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,22-Sep-21,2021,6.5,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,22-Sep-21,2021,6,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Tasaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coskun, Reshad Strik, Hande Subasi",Turkey,22-Sep-21,2018,6,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas"
Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,21-Sep-21,1996,7,161 min,"Comedies, International Movies"
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",,21-Sep-21,2021,8,61 min,Children & Family Movies
Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,21-Sep-21,1998,6,166 min,"Comedies, International Movies, Romantic Movies"
TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,21-Sep-21,2021,6,2 Seasons,"Docuseries, International TV Shows, Reality TV"
Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",,21-Sep-21,1997,7,147 min,"Comedies, International Movies, Music & Musicals"
Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,20-Sep-21,2010,5,103 min,Comedies
Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,19-Sep-21,2013,5,97 min,"Horror Movies, Sci-Fi & Fantasy"
Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",19-Sep-21,2013,5,106 min,Thrillers
Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,17-Sep-21,2021,6,111 min,"Dramas, Independent Movies, International Movies"
TV Show,Chicago Party Aunt,,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",,17-Sep-21,2021,6.5,1 Season,TV Comedies
TV Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,17-Sep-21,2020,6.5,3 Seasons,"British TV Shows, International TV Shows, TV Comedies"
TV Show,Squid Game,,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,17-Sep-21,2021,6.5,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,17-Sep-21,2020,9,1 Season,Kids' TV
Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriu?a, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",,17-Sep-21,2021,6.5,110 min,"Dramas, International Movies, Thrillers"
Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,17-Sep-21,2021,6.5,105 min,"Action & Adventure, Dramas, International Movies"
TV Show,Angry Birds,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,16-Sep-21,2018,9,1 Season,"Kids' TV, TV Comedies"
Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",16-Sep-21,2017,5,96 min,"Action & Adventure, Dramas"
TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,16-Sep-21,2021,9,3 Seasons,Kids' TV
TV Show,He-Man and the Masters of the Universe,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,16-Sep-21,2021,9,1 Season,"Kids' TV, TV Sci-Fi & Fantasy"
Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,16-Sep-21,1975,4.5,124 min,"Action & Adventure, Classic Movies, Dramas"
Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,16-Sep-21,1978,4.5,116 min,"Dramas, Horror Movies, Thrillers"
Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,16-Sep-21,1983,4.5,98 min,"Action & Adventure, Horror Movies, Thrillers"
Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,16-Sep-21,1987,5,91 min,"Action & Adventure, Horror Movies, Thrillers"
Movie,My Heroes Were Cowboys,Tyler Greco,,,16-Sep-21,2021,4.5,23 min,Documentaries
Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",16-Sep-21,2012,5.5,115 min,Action & Adventure
TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,16-Sep-21,2020,6.5,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,16-Sep-21,2001,5.5,122 min,"Dramas, Thrillers"
TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,15-Sep-21,2021,6.5,2 Seasons,"International TV Shows, TV Dramas"
TV Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,15-Sep-21,2014,7,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,15-Sep-21,2002,6,99 min,"Action & Adventure, Anime Features, International Movies"
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,15-Sep-21,2003,6,99 min,"Action & Adventure, Anime Features, International Movies"
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,15-Sep-21,2004,7,88 min,"Action & Adventure, Anime Features, International Movies"
Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,15-Sep-21,2001,7,100 min,"Action & Adventure, Anime Features, International Movies"
TV Show,Nailed It,,"Nicole Byer, Jacques Torres",United States,15-Sep-21,2021,7,6 Seasons,Reality TV
Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,15-Sep-21,2011,6,102 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,15-Sep-21,2008,7,93 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,15-Sep-21,2009,7,96 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,15-Sep-21,2007,7,95 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,15-Sep-21,2010,6,85 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,15-Sep-21,2005,7,97 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,15-Sep-21,2006,7,95 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,15-Sep-21,2004,7,83 min,"Action & Adventure, Anime Features, International Movies"
Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",,15-Sep-21,2021,7,103 min,Children & Family Movies
TV Show,Numberblocks,,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",United Kingdom,15-Sep-21,2021,8,6 Seasons,Kids' TV
TV Show,Raja Rasoi Aur Anya Kahaniyan,,,India,15-Sep-21,2014,5,1 Season,"Docuseries, International TV Shows"
TV Show,Saved by the Bell,,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",United States,15-Sep-21,1994,7,9 Seasons,"Kids' TV, TV Comedies"
Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,,15-Sep-21,2021,6,113 min,"Documentaries, International Movies, Sports Movies"
TV Show,Stories by Rabindranath Tagore,,,India,15-Sep-21,2015,7,1 Season,"International TV Shows, TV Dramas"
TV Show,Too Hot To Handle: Latino,,Itatí Cantoral,,15-Sep-21,2021,6.5,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",,14-Sep-21,2021,8,13 min,Children & Family Movies
TV Show,Jack Whitehall: Travels with My Father,,"Jack Whitehall, Michael Whitehall",United Kingdom,14-Sep-21,2021,6.5,5 Seasons,"British TV Shows, Docuseries, International TV Shows"
Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,14-Sep-21,2018,6.5,182 min,"Dramas, International Movies"
Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",,14-Sep-21,2021,5,106 min,Children & Family Movies
TV Show,Yowamushi Pedal,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,14-Sep-21,2013,6,1 Season,"Anime Series, International TV Shows"
Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",,11-Sep-21,2021,9,48 min,"Children & Family Movies, Comedies"
Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",,11-Sep-21,2020,6,145 min,"Comedies, Dramas, International Movies"
Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",,11-Sep-21,2021,6,145 min,"Comedies, Dramas, International Movies"
Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",,10-Sep-21,2021,9,93 min,Children & Family Movies
Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,10-Sep-21,2021,5.5,106 min,Action & Adventure
TV Show,Lucifer,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,10-Sep-21,2021,6,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
TV Show,Metal Shop Masters,,Jo Koy,,10-Sep-21,2021,6.5,1 Season,Reality TV
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,10-Sep-21,2020,6.5,147 min,"Action & Adventure, Comedies, Dramas"
TV Show,Pokémon Master Journeys: The Series,,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",,10-Sep-21,2021,9,1 Season,"Anime Series, Kids' TV"
Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,10-Sep-21,2021,6.5,87 min,"International Movies, Thrillers"
TV Show,Titipo Titipo,,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",,10-Sep-21,2019,8,2 Seasons,"Kids' TV, Korean TV Shows"
Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",,09-Sep-21,2021,5,96 min,"Documentaries, Sports Movies"
TV Show,Mighty Raju,,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",,09-Sep-21,2017,9,4 Seasons,Kids' TV
Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States",09-Sep-21,2019,6.5,95 min,"Sci-Fi & Fantasy, Thrillers"
Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,France,09-Sep-21,2021,6,92 min,"Documentaries, International Movies"
TV Show,Into the Night,,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtulus, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,08-Sep-21,2021,6.5,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
Movie,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",,08-Sep-21,2021,6.5,91 min,"Dramas, International Movies, Romantic Movies"
Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States",08-Sep-21,2018,4.5,90 min,"Children & Family Movies, Comedies"
TV Show,The Circle,,Michelle Buteau,"United States, United Kingdom",08-Sep-21,2021,6.5,3 Seasons,Reality TV
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,07-Sep-21,2018,6.5,97 min,"Documentaries, Music & Musicals"
TV Show,Kid Cosmic,,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,07-Sep-21,2021,9,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy"
TV Show,Octonauts: Above & Beyond,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,07-Sep-21,2021,8,1 Season,"British TV Shows, Kids' TV"
TV Show,On the Verge,,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",07-Sep-21,2021,6.5,1 Season,"TV Comedies, TV Dramas"
TV Show,Tobot Galaxy Detectives,,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",,07-Sep-21,2019,9,2 Seasons,Kids' TV
Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",,United States,07-Sep-21,2021,6.5,80 min,"Documentaries, Sports Movies"
TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,,06-Sep-21,2021,6,1 Season,"Docuseries, Science & Nature TV"
